local,sexo,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
33,1,7625679,8,876437,44873584,835767,353883185,1712204,39875677,1323846,1971744,220253,251674643,183213,80023613,403466,331698256,11,493232863245,40,5064387944042,4,6554993352487,155689,899763879,383356,179139734,740563,56960543,2018,58162618179,481247,5166811,606165,919675389,180794,800507449,59641,2114108966,246582
33,2,8364249,99999992,885393,224589258,861900,197706764,1747293,42229602,1282990,818815,212492,248232562,173614,892904662,386107,141137224,10,5854466878592,40,4329069805736,4,28000381278034,155181,896690514,385562,513379376,745255,27155947,2299,4889929285,470889,815620432,602791,634407568,171147,75548034,55080,9892519162,264373
35,1,20077873,5,1328979,12495998,1667083,70379486,2996062,82875484,3498072,11941379,320030,35832643,382997,170869263,703027,529195693,6,61912307623395,39,7989489212343,2,63434141214398,322070,679990884,359969,661890923,1167303,7737536,2886,82684326269,548064,856454,892369,192694271,284161,125273232,137932,19707019,385586
35,2,21184326,6,1271291,65909073,1655495,9737726,2926786,75646799,3373822,12078778,303617,809451812,367654,980241643,671272,789693455,6,109561706467,39,7139332213422,2,38327110590996,310371,349633461,341945,354838805,1111531,66472197,3104,79308588343,489330,242965464,834019,329229704,244882,97733846,128121,197036281,394418
41,1,5130994,21,978532,688318664,647200,10555486,1625732,69887415,937415,910462891,207667,497232033,125967,253188945,333634,750420978,19,710160315647,41,9470259616269,7,99972404590648,161809,135645083,220239,29208816,854674,239622895,1555,35015894197,486092,770030115,881590,501511194,450266,63304315,130305,493986568,117894
41,2,5313532,1,901068,947660625,648469,906633431,1549538,85429406,901099,28928019,195779,29738904,123738,113205617,319517,14294452,16,9580035964893,41,6911768785596,7,6999127448484,145198,975468701,193152,472074577,785147,260748016,1530,80341127627,429590,574851657,808645,609851583,396708,715578439,112978,677088443,118835
42,1,3100360,3,526518,228660203,407531,5635404,934049,285014243,536228,445054477,105382,14633473,74546,7859596404,179928,800593113,16,9824868292778,40,969174444984,6,95758465418328,88010,4614241168,105058,793231573,472872,462142652,888,757953293972,323361,680768198,495154,48794051,206310,767467344,80759,2260230218,52843
42,2,3148076,16,479420,895688784,402297,115426603,881718,11115388,510655,271330817,98090,2655294284,71904,9992290419,169995,26475847,15,2290127585471,40,7611101436632,6,20751466430392,77921,9072647736,90943,6723712327,430071,748859243,943,62287779956,288912,416106548,451719,947017888,182898,936419049,70765,6572915109,52040
43,1,5205057,25,893029,74427472,662663,446201245,1555693,19047596,873084,498950924,188061,274257379,121304,834130579,309366,108387958,17,1569637810821,41,106985847699,7,361907025577,140679,487396071,250492,197148093,773578,17772925,1554,41957587281,429035,391170224,781114,192596593,354430,510115215,117675,561105075,107471
43,2,5488872,9,827306,256512329,655993,28709284,1483299,54360517,840682,364622594,177539,63678741,115086,541867681,292625,605546422,15,724275682201,40,8610207111241,6,15874775031961,129730,138582441,231852,496193325,713902,724677729,1678,83359565125,376953,35681543,718956,357137965,310859,698687977,104287,65065783,110821
50,1,1219928,1,317513,312659415,212259,614537623,529772,927197038,244558,76027737,78691,4821106063,43535,4178478622,122226,899958468,26,272173980278,41,7212389679356,10,8588775673353,56439,1393132239,94967,2475275812,263272,122805656,414,395194634054,143398,624614749,304337,408403046,143409,741420205,29838,6445979203,48651
50,2,1229096,1,291861,631987847,208221,342963381,500082,974951228,232791,612007022,73416,5757422632,41585,8172625014,115002,393004765,23,7460403408557,41,6731586460472,9,89572506339919,51786,274717529,87601,3754478149,240586,431808684,468,897387207841,122425,294682788,279968,178584917,122108,533967018,26772,714119234,48085
51,1,1549536,3,488065,144925007,289839,466133504,777904,611058512,310444,488172922,109658,132874351,60599,5154859055,170257,648360257,31,4975027959981,42,95969864371,13,2319739853906,72464,7690681327,106751,76148404,399858,68785905,1078,48229757954,292316,714507091,453669,756798929,237126,49756261,47917,5431778649,65881
51,2,1485586,4,432232,698974974,272495,837102444,704728,536077418,297242,234477671,106989,891279131,56711,6561232164,163701,547402348,29,950977577172,41,8669068855381,12,1812174864798,65482,7767096699,94163,5100217487,354061,851992546,1230,7293240379,244933,513997061,401207,906331524,194206,570776857,41231,3558659565,63082
52,1,2981626,99999988,633284,63392365,528392,452934128,1161676,51632649,570971,705774207,142168,807330351,107078,60547845,249246,867878196,21,2395468444708,40,1847070503049,8,53504967826288,101828,952496138,159770,505269561,530569,12370163,1010,88254118125,377704,107702014,592563,921379507,221332,366368767,69632,1918242635,114139
52,2,3022161,7,578071,680093073,512395,939888113,1090467,61998119,549158,680154906,134419,686607151,103779,434308909,238199,120916061,19,1277592455551,40,754348268958,7,66553269029796,93019,4652895734,143585,690716996,481596,436244826,1117,74863255597,330479,597462841,540995,918079009,183410,23155973,60531,4825847702,113563
53,1,1228879,99999995,91001,2451161455,100726,845226798,191728,90342944,243600,35685438,24274,5053576823,26432,9061331528,50707,4114908351,7,40521817558668,40,7949325078111,3,2095375678674,19249,8582114837,34835,1625225303,76573,7199080589,228,6223005009,29441,6622954536,63091,8980146971,20860,9301017299,9163,8937519105,27031
53,2,1341279,99999994,90126,3694984779,103421,254122381,193547,623620859,235426,442881604,24300,957061755,25873,9123784971,50174,8694402521,6,71942991012182,40,5341110987481,2,72366118497129,18606,1438294743,34409,3837419881,75825,5718247365,248,355585265435,26662,6675102795,59061,6474759873,17668,8567467498,8507,92069964567,30478
