local,raca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
50,5,72102,3422669241,54801,109899649,9305,50609696384,64106,5170869287,25335,2243473371,21465,2557952213,2631,875383901,24096,3433336114,76,44809461121,47,6355058177366,36,2051189428257,15230,9925012122,20246,50233691,39201,1611968677,292,109913675239,26029,9821691897,52275,4207678204,50517,2171328347,4913,93662861551,4414
51,1,1128085,70172989,278354,611393422,193631,181963313,471985,793356735,220050,52682418,61244,170170781,39868,980095206,101113,150265987,24,6749525294551,40,9847573808024,10,1129694280253,33632,8837300887,47009,7334998052,226519,13756113,379,258963580139,172527,919459645,269688,968654555,132911,894567568,26724,108175244,35555
51,2,225627,121146439,69658,8966630755,45569,7938083257,115228,690471401,27533,4900712217,10822,8901793498,5721,62099514846,16544,5111744982,30,8734589658948,41,3189048064205,12,7565751205674,11084,2959166988,17538,223380727,57344,6890302906,126,300167944522,33678,9563343177,65789,6453290529,26591,4952944585,6148,90952341878,11772
51,3,35833,7232452403,8288,61320322482,5739,40396834434,14028,171715692,6276,485738108,1813,62402933371,1203,49061786756,3017,11464720127,23,1307618985023,41,85698391303,9,50343506922911,1028,41719933926,1691,38107303717,6789,73352918784,23,8602692626028,4729,2798342361,7876,23732075916,3110,24368205446,992,806899042233,1231
51,4,1601177,16901288,527395,348107796,313935,184825612,841330,532933408,336955,366015447,127366,484880925,69630,4405783426,196996,925459268,32,9379757789661,41,8191798941217,13,7743913444881,77627,8236060576,115976,756205512,436197,322853422,932,553733446566,292526,574932113,501335,626224167,235465,947632928,48100,7526563453,79559
51,5,43225,9570089291,36365,1651542206,3233,64963771946,39598,8147919401,16601,1852474318,15326,6433885437,843,138147757883,16169,7815363016,84,1280741261755,52,4878039414963,44,1569786071037,14338,9159473832,18698,6930537263,27069,1616094389,847,238487383617,33687,9868906503,10172,9565732012,33168,2051379781,7182,4191474909,844
52,1,2487673,7028757,381071,21044772,357739,522008817,738810,54305359,471677,510360518,87756,3721587229,75707,492846554,163463,865005277,15,3183683456662,39,6260085579509,6,7005795159212,54734,1573866599,81807,2243269155,319045,317060955,479,190932429398,239865,828028113,359489,383876261,144173,37051574,39328,9088456107,66966
52,2,387673,388288744,99652,4228551055,78569,6845442199,178222,107399325,47414,5226431874,16849,8470946769,9989,73404365064,26839,5811383275,25,7052523762305,40,5005312544724,10,4107637726762,16824,233009205,27541,630553875,82208,6918565647,167,631367437576,56158,7178196199,90442,9299276571,29301,2107952997,10773,8547984167,19600
52,3,100797,212613744,17994,8453444305,17869,2941981963,35864,1395426268,16724,7041989832,3914,1271405566,3379,69205533235,7293,81919588894,17,8525227809492,40,2550149167949,7,18653570849529,3034,11769069822,4678,19882695699,14172,1968450563,34,800136280053,10322,4631001268,16775,5585612213,5478,226869608,2083,93897271732,4133
52,4,3019261,87465518,710502,922757461,584854,767805336,1295357,6905628,583550,671406257,167741,772847247,121672,925855352,289414,698702599,23,5323384407854,40,3491062972692,9,49508825170566,119816,28460056,188674,420593921,595054,9589981,1447,72886024224,400742,555362882,664865,349704014,225447,463862863,77542,8890156974,136613
52,5,8015,6837687335,2082,34490744368,1622,27641851726,3704,62132596095,685,65945315714,313,328052239227,85,5087480072123,398,836800246439,25,9783814771513,40,3968865905663,10,4944573033895,387,648230640799,655,289183378875,1685,23326243259,0,1094,14085412303,1934,4308131422,342,65934915387,381,896200360173,387,760756231558
53,1,1075079,19424405,45425,6990519934,59933,9096177914,105359,608669785,203830,123711984,12502,1091152393,17150,624406906,29652,1715559299,4,22533514695492,40,3072891624948,1,70311805576765,9165,76522808985,16996,1658271467,38344,6672321559,127,458620819855,15276,9667812162,30764,4413194659,10419,891620775,4877,30532326053,13876
53,2,194162,582581851,19066,9920261194,19400,3681675557,38467,360193675,22992,3403212787,3725,96215360111,2915,275770769,6640,98973067801,9,82011661185107,41,1555206619281,4,415201212158,3385,9550792997,6781,1373013272,14879,59673105,62,237035443774,6049,17034554225,14013,665958414,4017,14701364213,2523,2003342765,6627
53,3,42679,3603326612,2142,80539813517,3239,45455750137,5382,25995563654,6449,173551039,428,333452597302,645,268613917227,1073,60206651453,5,207064525645,41,1995376542223,2,6850784543228,480,643805717892,874,796471060064,1906,34422010814,0,501,963828865519,1040,57597554949,265,16134912678,455,349398565552,973,154140908044
53,4,1250314,9771763,114139,44161202,120619,82263915,234758,866800352,244698,119879428,31872,6594575945,31372,656552784,63244,7251128729,9,12882323612351,40,7060054060717,3,71597928000717,24601,9433147868,44449,4298215353,96916,2003360468,287,495561402102,34212,8244459843,76137,1961324187,23828,3893236334,9744,9993291155,36008
53,5,7070,28158352751,353,73977173611,759,558018813954,1112,63199598757,912,114905440783,46,3982404051614,139,962240896645,186,360481301807,4,99377532567034,43,7755713318595,2,18605367984162,221,694613063717,143,16843449279,353,73977173611,0,63,4044041249344,198,265467408802,0,71,8594625420086,24,4073633778635,200
